date,reservation count,defects,year,month,day
12/31/2018,144,4,2018,Dec,31
1/1/2019,104,0,2019,Jan,1
1/2/2019,66,0,2019,Jan,2
1/3/2019,95,1,2019,Jan,3
1/4/2019,112,0,2019,Jan,4
1/5/2019,113,2,2019,Jan,5
1/6/2019,89,1,2019,Jan,6
1/7/2019,52,1,2019,Jan,7
1/8/2019,19,0,2019,Jan,8
1/9/2019,24,0,2019,Jan,9
1/10/2019,31,0,2019,Jan,10
1/11/2019,60,0,2019,Jan,11
1/12/2019,105,0,2019,Jan,12
1/13/2019,50,0,2019,Jan,13
1/14/2019,35,0,2019,Jan,14
1/15/2019,29,0,2019,Jan,15
1/16/2019,28,0,2019,Jan,16
1/17/2019,28,0,2019,Jan,17
1/18/2019,0,0,2019,Jan,18
1/19/2019,121,0,2019,Jan,19
1/20/2019,83,0,2019,Jan,20
1/21/2019,47,0,2019,Jan,21
1/22/2019,29,0,2019,Jan,22
1/23/2019,35,0,2019,Jan,23
1/24/2019,17,0,2019,Jan,24
1/25/2019,63,0,2019,Jan,25
1/26/2019,96,3,2019,Jan,26
1/27/2019,71,0,2019,Jan,27
1/28/2019,43,0,2019,Jan,28
1/29/2019,27,0,2019,Jan,29
1/30/2019,19,0,2019,Jan,30
1/31/2019,10,0,2019,Jan,31
2/1/2019,31,0,2019,Feb,1
2/2/2019,61,0,2019,Feb,2
2/3/2019,52,0,2019,Feb,3
2/4/2019,44,0,2019,Feb,4
2/5/2019,39,0,2019,Feb,5
2/6/2019,25,0,2019,Feb,6
2/7/2019,27,0,2019,Feb,7
2/8/2019,58,1,2019,Feb,8
2/9/2019,99,0,2019,Feb,9
2/10/2019,59,2,2019,Feb,10
2/11/2019,33,0,2019,Feb,11
2/12/2019,32,0,2019,Feb,12
2/13/2019,30,1,2019,Feb,13
2/14/2019,63,0,2019,Feb,14
2/15/2019,106,0,2019,Feb,15
2/16/2019,173,1,2019,Feb,16
2/17/2019,156,1,2019,Feb,17
2/18/2019,108,0,2019,Feb,18
2/19/2019,63,0,2019,Feb,19
2/20/2019,39,0,2019,Feb,20
2/21/2019,64,0,2019,Feb,21
2/22/2019,87,0,2019,Feb,22
2/23/2019,128,0,2019,Feb,23
2/24/2019,57,0,2019,Feb,24
2/25/2019,39,0,2019,Feb,25
2/26/2019,31,0,2019,Feb,26
2/27/2019,44,0,2019,Feb,27
2/28/2019,46,2,2019,Feb,28
3/1/2019,96,1,2019,Mar,1
3/2/2019,115,1,2019,Mar,2
3/3/2019,76,0,2019,Mar,3
3/4/2019,80,0,2019,Mar,4
3/5/2019,40,0,2019,Mar,5
3/6/2019,59,1,2019,Mar,6
3/7/2019,94,0,2019,Mar,7
3/8/2019,97,0,2019,Mar,8
3/9/2019,194,2,2019,Mar,9
3/10/2019,80,2,2019,Mar,10
3/11/2019,190,2,2019,Mar,11
3/12/2019,123,1,2019,Mar,12
3/13/2019,89,1,2019,Mar,13
3/14/2019,140,2,2019,Mar,14
3/15/2019,145,2,2019,Mar,15
3/16/2019,191,0,2019,Mar,16
3/17/2019,161,3,2019,Mar,17
3/18/2019,185,2,2019,Mar,18
3/19/2019,191,4,2019,Mar,19
3/20/2019,141,2,2019,Mar,20
3/21/2019,137,1,2019,Mar,21
3/22/2019,162,7,2019,Mar,22
3/23/2019,196,1,2019,Mar,23
3/24/2019,6,1,2019,Mar,24
3/25/2019,180,2,2019,Mar,25
3/26/2019,145,4,2019,Mar,26
3/27/2019,7,0,2019,Mar,27
3/28/2019,3,0,2019,Mar,28
3/29/2019,197,0,2019,Mar,29
3/30/2019,226,5,2019,Mar,30
3/31/2019,1,0,2019,Mar,31
4/1/2019,176,2,2019,Apr,1
4/2/2019,144,1,2019,Apr,2
4/3/2019,113,1,2019,Apr,3
4/4/2019,156,4,2019,Apr,4
4/5/2019,162,4,2019,Apr,5
4/6/2019,208,1,2019,Apr,6
4/7/2019,157,3,2019,Apr,7
4/8/2019,106,1,2019,Apr,8
4/9/2019,89,3,2019,Apr,9
4/10/2019,76,2,2019,Apr,10
4/11/2019,25,2,2019,Apr,11
4/12/2019,141,1,2019,Apr,12
4/13/2019,204,4,2019,Apr,13
4/14/2019,65,0,2019,Apr,14
4/15/2019,194,7,2019,Apr,15
4/16/2019,187,4,2019,Apr,16
4/17/2019,175,3,2019,Apr,17
4/18/2019,233,14,2019,Apr,18
4/19/2019,203,9,2019,Apr,19
4/20/2019,181,0,2019,Apr,20
4/21/2019,122,3,2019,Apr,21
4/22/2019,192,3,2019,Apr,22
4/23/2019,204,2,2019,Apr,23
4/24/2019,180,3,2019,Apr,24
4/25/2019,231,4,2019,Apr,25
4/26/2019,184,8,2019,Apr,26
4/27/2019,198,2,2019,Apr,27
4/28/2019,148,0,2019,Apr,28
4/29/2019,181,4,2019,Apr,29
4/30/2019,95,3,2019,Apr,30
5/1/2019,113,0,2019,May,1
5/2/2019,148,4,2019,May,2
5/3/2019,210,4,2019,May,3
5/4/2019,234,4,2019,May,4
5/5/2019,141,3,2019,May,5
5/6/2019,194,5,2019,May,6
5/7/2019,156,1,2019,May,7
5/8/2019,178,8,2019,May,8
5/9/2019,174,6,2019,May,9
5/10/2019,170,4,2019,May,10
5/11/2019,190,2,2019,May,11
5/12/2019,124,5,2019,May,12
5/13/2019,91,1,2019,May,13
5/14/2019,135,2,2019,May,14
5/15/2019,122,3,2019,May,15
5/16/2019,129,1,2019,May,16
5/17/2019,177,5,2019,May,17
5/18/2019,202,2,2019,May,18
5/19/2019,156,3,2019,May,19
5/20/2019,166,4,2019,May,20
5/21/2019,161,3,2019,May,21
5/22/2019,151,4,2019,May,22
5/23/2019,142,5,2019,May,23
5/24/2019,179,2,2019,May,24
5/25/2019,242,0,2019,May,25
5/26/2019,210,9,2019,May,26
5/27/2019,247,4,2019,May,27
5/28/2019,210,3,2019,May,28
5/29/2019,198,4,2019,May,29
5/30/2019,204,0,2019,May,30
5/31/2019,122,1,2019,May,31
6/1/2019,248,4,2019,Jun,1
6/2/2019,227,1,2019,Jun,2
6/3/2019,240,3,2019,Jun,3
6/4/2019,258,3,2019,Jun,4
6/5/2019,212,4,2019,Jun,5
6/6/2019,242,5,2019,Jun,6
6/7/2019,281,3,2019,Jun,7
6/8/2019,143,0,2019,Jun,8
6/9/2019,249,1,2019,Jun,9
6/10/2019,226,6,2019,Jun,10
6/11/2019,213,3,2019,Jun,11
6/12/2019,216,7,2019,Jun,12
6/13/2019,146,0,2019,Jun,13
6/14/2019,294,5,2019,Jun,14
6/15/2019,318,6,2019,Jun,15
6/16/2019,211,5,2019,Jun,16
6/17/2019,251,4,2019,Jun,17
6/18/2019,181,7,2019,Jun,18
6/19/2019,220,4,2019,Jun,19
6/20/2019,234,7,2019,Jun,20
6/21/2019,275,3,2019,Jun,21
6/22/2019,249,6,2019,Jun,22
6/23/2019,273,1,2019,Jun,23
6/24/2019,245,5,2019,Jun,24
6/25/2019,225,4,2019,Jun,25
6/26/2019,263,6,2019,Jun,26
6/27/2019,248,3,2019,Jun,27
6/28/2019,279,5,2019,Jun,28
6/29/2019,240,4,2019,Jun,29
6/30/2019,199,2,2019,Jun,30
7/1/2019,239,7,2019,Jul,1
7/2/2019,233,3,2019,Jul,2
7/3/2019,260,3,2019,Jul,3
7/4/2019,217,1,2019,Jul,4
7/5/2019,280,1,2019,Jul,5
7/6/2019,224,7,2019,Jul,6
7/7/2019,207,9,2019,Jul,7
7/8/2019,252,4,2019,Jul,8
7/9/2019,205,4,2019,Jul,9
7/10/2019,213,1,2019,Jul,10
7/11/2019,213,5,2019,Jul,11
7/12/2019,263,5,2019,Jul,12
7/13/2019,237,9,2019,Jul,13
7/14/2019,233,1,2019,Jul,14
7/15/2019,227,5,2019,Jul,15
7/16/2019,240,7,2019,Jul,16
7/17/2019,183,7,2019,Jul,17
7/18/2019,144,6,2019,Jul,18
7/19/2019,244,10,2019,Jul,19
7/20/2019,227,4,2019,Jul,20
7/21/2019,164,5,2019,Jul,21
7/22/2019,245,8,2019,Jul,22
7/23/2019,179,1,2019,Jul,23
7/24/2019,192,3,2019,Jul,24
7/25/2019,235,3,2019,Jul,25
7/26/2019,256,11,2019,Jul,26
7/27/2019,237,5,2019,Jul,27
7/28/2019,129,3,2019,Jul,28
7/29/2019,275,4,2019,Jul,29
7/30/2019,245,7,2019,Jul,30
7/31/2019,173,2,2019,Jul,31
8/1/2019,219,0,2019,Aug,1
8/2/2019,247,8,2019,Aug,2
8/3/2019,274,5,2019,Aug,3
8/4/2019,246,4,2019,Aug,4
8/5/2019,227,3,2019,Aug,5
8/6/2019,199,4,2019,Aug,6
8/7/2019,160,0,2019,Aug,7
8/8/2019,210,3,2019,Aug,8
8/9/2019,225,3,2019,Aug,9
8/10/2019,255,1,2019,Aug,10
8/11/2019,243,2,2019,Aug,11
8/12/2019,231,1,2019,Aug,12
8/13/2019,153,1,2019,Aug,13
8/14/2019,216,9,2019,Aug,14
8/15/2019,208,4,2019,Aug,15
8/16/2019,241,4,2019,Aug,16
8/17/2019,217,0,2019,Aug,17
8/18/2019,193,2,2019,Aug,18
8/19/2019,208,4,2019,Aug,19
8/20/2019,192,4,2019,Aug,20
8/21/2019,188,2,2019,Aug,21
8/22/2019,173,0,2019,Aug,22
8/23/2019,191,2,2019,Aug,23
8/24/2019,224,7,2019,Aug,24
8/25/2019,171,0,2019,Aug,25
8/26/2019,184,3,2019,Aug,26
8/27/2019,148,0,2019,Aug,27
8/28/2019,139,3,2019,Aug,28
8/29/2019,218,3,2019,Aug,29
8/30/2019,234,1,2019,Aug,30
8/31/2019,249,3,2019,Aug,31
9/1/2019,220,0,2019,Sep,1
9/2/2019,124,0,2019,Sep,2
9/3/2019,181,3,2019,Sep,3
9/4/2019,111,0,2019,Sep,4
9/5/2019,140,3,2019,Sep,5
9/6/2019,133,2,2019,Sep,6
9/7/2019,228,5,2019,Sep,7
9/8/2019,148,2,2019,Sep,8
9/9/2019,178,1,2019,Sep,9
9/10/2019,130,3,2019,Sep,10
9/11/2019,117,2,2019,Sep,11
9/12/2019,132,1,2019,Sep,12
9/13/2019,203,0,2019,Sep,13
9/14/2019,179,3,2019,Sep,14
9/15/2019,170,1,2019,Sep,15
9/16/2019,180,3,2019,Sep,16
9/17/2019,157,0,2019,Sep,17
9/18/2019,167,0,2019,Sep,18
9/19/2019,148,1,2019,Sep,19
9/20/2019,195,1,2019,Sep,20
9/21/2019,227,1,2019,Sep,21
9/22/2019,215,2,2019,Sep,22
9/23/2019,166,4,2019,Sep,23
9/24/2019,145,2,2019,Sep,24
9/25/2019,143,3,2019,Sep,25
9/26/2019,198,5,2019,Sep,26
9/27/2019,198,5,2019,Sep,27
9/28/2019,270,2,2019,Sep,28
9/29/2019,206,2,2019,Sep,29
9/30/2019,179,3,2019,Sep,30
10/1/2019,139,2,2019,Oct,1
10/2/2019,108,1,2019,Oct,2
10/3/2019,92,0,2019,Oct,3
10/4/2019,233,3,2019,Oct,4
10/5/2019,217,2,2019,Oct,5
10/6/2019,197,1,2019,Oct,6
10/7/2019,201,1,2019,Oct,7
10/8/2019,143,4,2019,Oct,8
10/9/2019,122,2,2019,Oct,9
10/10/2019,180,0,2019,Oct,10
10/11/2019,212,3,2019,Oct,11
10/12/2019,266,1,2019,Oct,12
10/13/2019,265,2,2019,Oct,13
10/14/2019,217,3,2019,Oct,14
10/15/2019,171,1,2019,Oct,15
10/16/2019,104,0,2019,Oct,16
10/17/2019,134,4,2019,Oct,17
10/18/2019,195,5,2019,Oct,18
10/19/2019,231,4,2019,Oct,19
10/20/2019,190,1,2019,Oct,20
10/21/2019,155,5,2019,Oct,21
10/22/2019,111,0,2019,Oct,22
10/23/2019,103,2,2019,Oct,23
10/24/2019,137,3,2019,Oct,24
10/25/2019,179,5,2019,Oct,25
10/26/2019,203,0,2019,Oct,26
10/27/2019,87,2,2019,Oct,27
10/28/2019,129,3,2019,Oct,28
10/29/2019,110,1,2019,Oct,29
10/30/2019,100,2,2019,Oct,30
10/31/2019,51,0,2019,Oct,31
11/1/2019,128,0,2019,Nov,1
11/2/2019,187,5,2019,Nov,2
11/3/2019,149,2,2019,Nov,3
11/4/2019,144,4,2019,Nov,4
11/5/2019,100,1,2019,Nov,5
11/6/2019,90,2,2019,Nov,6
11/7/2019,107,0,2019,Nov,7
11/8/2019,248,1,2019,Nov,8
11/9/2019,222,0,2019,Nov,9
11/10/2019,255,4,2019,Nov,10
11/11/2019,180,0,2019,Nov,11
11/12/2019,48,2,2019,Nov,12
11/13/2019,53,3,2019,Nov,13
11/14/2019,101,1,2019,Nov,14
11/15/2019,141,1,2019,Nov,15
11/16/2019,198,4,2019,Nov,16
11/17/2019,154,0,2019,Nov,17
11/18/2019,100,2,2019,Nov,18
11/19/2019,78,1,2019,Nov,19
11/20/2019,47,0,2019,Nov,20
11/21/2019,94,1,2019,Nov,21
11/22/2019,112,0,2019,Nov,22
11/23/2019,176,1,2019,Nov,23
11/24/2019,71,0,2019,Nov,24
11/25/2019,156,5,2019,Nov,25
11/26/2019,187,0,2019,Nov,26
11/27/2019,178,1,2019,Nov,27
11/28/2019,0,0,2019,Nov,28
11/29/2019,204,1,2019,Nov,29
11/30/2019,191,2,2019,Nov,30
12/1/2019,84,0,2019,Dec,1
12/2/2019,41,0,2019,Dec,2
12/3/2019,54,0,2019,Dec,3
12/4/2019,77,0,2019,Dec,4
12/5/2019,89,0,2019,Dec,5
12/6/2019,162,1,2019,Dec,6
12/7/2019,201,1,2019,Dec,7
12/8/2019,173,0,2019,Dec,8
12/9/2019,103,2,2019,Dec,9
12/10/2019,83,0,2019,Dec,10
12/11/2019,76,0,2019,Dec,11
12/12/2019,103,4,2019,Dec,12
12/13/2019,142,4,2019,Dec,13
12/14/2019,206,1,2019,Dec,14
12/15/2019,152,3,2019,Dec,15
12/16/2019,86,4,2019,Dec,16
12/17/2019,65,0,2019,Dec,17
12/18/2019,79,0,2019,Dec,18
12/19/2019,68,0,2019,Dec,19
12/20/2019,98,0,2019,Dec,20
12/21/2019,136,0,2019,Dec,21
12/22/2019,130,3,2019,Dec,22
12/23/2019,122,0,2019,Dec,23
12/24/2019,48,1,2019,Dec,24
12/25/2019,0,0,2019,Dec,25
12/26/2019,113,0,2019,Dec,26
12/27/2019,180,2,2019,Dec,27
12/28/2019,205,0,2019,Dec,28
12/29/2019,171,2,2019,Dec,29
12/30/2019,124,0,2019,Dec,30
12/31/2019,111,1,2019,Dec,31
